NONE,1529,1662,1693,13,308,160,25,3287,5970,1660,15000,31307
AGGR_PRUNE,1526,1978,1574,10,324,186,11,1705,1493,2211,6657,17675
ORDER_EXPER,1572,2129,1556,11,370,169,13,3288,3776,1704,15000,29588
ORDER_EXPER|AGGR_PRUNE,3040,1216,1467,14,304,154,19,1662,3674,1214,5483,18247
